"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
"1",100,100,100,100,100,100,100,100,100,12,100,100,100,100,80,90,100,100,100,100,100,100,"A+"
"2",85,95,100,95,95,95,100,100,100,12,91.6666666666667,88.8888888888889,90,95,57.6,74.7,72,83,97.5,92.2222222222222,100,88.2333333333333,"A-"
"3",87.5,100,85,70,100,98,0,80,0,7,83.3333333333333,55.5555555555556,50,0,56.8,54.9,71,61,77.5625,62.962962962963,20,64.1631944444445,"C-"
"4",92.5,100,100,100,96.25,99,100,92.5,95,12,66.6666666666667,88.8888888888889,65,65,69.6,58.05,87,64.5,97.84375,73.5185185185185,100,83.9059027777778,"B"
"5",32.5,0,65,60,0,46,0,0,0,5,41.6666666666667,50,0,0,40,16.2,50,18,25.4375,30.5555555555556,0,26.7145833333333,"F"
"6",75,85,92.5,95,100,91,0,0,90,9,91.6666666666667,94.4444444444444,0,75,73.6,71.1,92,79,78.5625,87.037037037037,60,80.7743055555555,"B-"
"7",90,100,97.5,95,80,80,52,90,90,12,91.6666666666667,50,75,90,78.4,68.85,98,76.5,90.3125,85.5555555555556,100,88.6520833333333,"A-"
"8",92.5,95,100,90,100,72,95,74.5,100,12,83.3333333333333,44.4444444444444,60,65,52,63.9,65,71,93.375,69.4444444444444,100,79.1791666666667,"C+"
"9",82.5,85,92.5,70,100,0,84,90,95,12,91.6666666666667,100,70,95,80,73.8,100,82,87.375,95.5555555555556,100,91.0458333333333,"A"
"10",75,95,95,95,95,96,0,100,98,12,58.3333333333333,55.5555555555556,65,80,63.2,70.65,79,78.5,93.625,67.7777777777778,100,83.6791666666667,"B"
"11",0,77.5,0,15,0,70,80,80,57.5,11,66.6666666666667,27.7777777777778,35,15,21.6,50.4,27,56,47.5,43.1481481481482,100,50.1222222222222,"D"
"12",95,100,100,100,100,90,100,100,70,12,100,100,80,100,77.6,87.3,97,97,98.125,100,100,98.0875,"A+"
"13",82.5,0,82.5,80,100,0,0,0,70,12,75,38.8888888888889,45,60,42.4,41.4,53,46,51.875,60,100,56.6625,"D"
"14",80,92.5,87.5,100,100,69,51.5,80,75,12,100,83.3333333333333,67.5,100,70.4,68.4,88,76,85.5,94.4444444444444,100,86.4166666666667,"B+"
"15",87.5,100,100,100,85,90,100,100,80,12,66.6666666666667,72.2222222222222,60,75,68,70.2,85,78,95.3125,71.2962962962963,100,85.7881944444444,"B"
"16",50,0,67.5,50,0,78,41.5,82.5,80,11,33.3333333333333,55.5555555555556,70,85,40,36.9,50,41,56.1875,70.1851851851852,100,57.6340277777778,"D"
"17",47.5,70,77.5,30,85,55,78,92.5,80,11,66.6666666666667,16.6666666666667,0,30,47.2,20.7,59,23,73.1875,37.7777777777778,100,55.1729166666667,"D"
"18",77.5,85,100,100,95,93,82,90,95,12,75,55.5555555555556,70,65,59.2,69.3,74,77,92.5,70,100,82.3,"B"
"19",65,92.5,92.5,0,95,80,74,80,80,12,83.3333333333333,50,65,70,64,67.95,80,75.5,82.375,72.7777777777778,100,80.5041666666667,"B-"
"20",52.5,75,85,90,86.25,99,70,100,0,8,66.6666666666667,77.7777777777778,25,50,61.6,62.1,77,69,82.21875,64.8148148148148,40,71.0378472222222,"C"
"21",77.5,97.5,100,100,100,100,100,100,100,12,91.6666666666667,100,70,100,69.6,70.2,87,78,99.6875,97.2222222222222,100,91.3895833333333,"A"
"22",95,77.5,95,100,100,87,100,90,100,12,100,94.4444444444444,70,95,64,77.4,80,86,95.875,96.4814814814815,100,90.7347222222222,"A"
"23",70,67.5,75,70,95,77,79,0,63.5,11,91.6666666666667,61.1111111111111,0,80,54.4,45,68,50,74.625,77.5925925925926,100,70.1263888888889,"C"
"24",77.5,70,87.5,90,80,81,87,90,85,11,66.6666666666667,0,0,70,35.2,31.5,44,35,84.75,45.5555555555556,100,59.8083333333333,"D"
"25",72.5,72.5,85,80,90,93,100,100,100,12,91.6666666666667,88.8888888888889,70,95,64.8,81,81,90,90.0625,91.8518518518518,100,89.4965277777778,"A-"
"26",80,80,85,60,92.5,71,48,64,95,12,33.3333333333333,22.2222222222222,40,25,39.2,42.75,49,47.5,78.4375,32.7777777777778,100,60.1229166666667,"C-"
"27",97,100,100,100,100,98,100,0,96,12,75,38.8888888888889,0,100,67.2,77.4,84,86,98.875,71.2962962962963,100,88.6569444444444,"A-"
"28",92.5,100,100,80,100,0,83,95,90,12,66.6666666666667,16.6666666666667,75,70,50.4,61.2,63,68,92.5625,70.5555555555556,100,77.9520833333333,"C+"
"29",87.5,55,87.5,52.5,70,98,90,90,80,12,83.3333333333333,66.6666666666667,30,80,57.6,62.1,72,69,82.25,76.6666666666667,100,77.825,"C+"
"30",92.5,92.5,85,90,95,87,73,100,80,12,83.3333333333333,72.2222222222222,85,90,72,67.5,90,75,90.25,86.1111111111111,100,86.7416666666667,"B+"
"31",52.5,97.5,100,90,95,95,100,85,70,12,91.6666666666667,55.5555555555556,65,75,64.8,70.65,81,78.5,91.5625,77.2222222222222,100,84.8770833333333,"B"
"32",86.5,94,95,100,95,90,77,60,98,10,66.6666666666667,61.1111111111111,65,85,63.2,64.35,79,71.5,91.9375,72.2222222222222,80,80.0895833333333,"B-"
"33",88.5,85,100,100,100,99,100,100,94,12,100,88.8888888888889,90,100,79.2,67.05,99,74.5,97.6875,96.6666666666667,100,92.23125,"A"
"34",95,98,100,80,100,90,52,70,100,12,83.3333333333333,44.4444444444444,75,80,62.4,48.15,78,53.5,91.625,79.4444444444444,100,78.3791666666667,"C+"
"35",85,77.5,92.5,55,65,64,26,62.5,85,12,33.3333333333333,50,30,60,29.6,24.75,37,27.5,73.3125,47.7777777777778,100,53.4354166666667,"D"
"36",87.5,100,100,70,95,100,78,90,80,12,66.6666666666667,44.4444444444444,40,90,62.4,35.1,78,39,91.3125,67.037037037037,100,72.7993055555555,"C"
"37",76,72.5,50,0,61.25,71,51,50,80,12,58.3333333333333,55.5555555555556,50,20,44.8,63.45,56,70.5,63.96875,54.6296296296296,100,66.2100694444444,"C-"
"38",81,97.5,100,75,95,87,82,90,95,12,100,100,75,55,67.2,75.6,84,84,90.9375,91.6666666666667,100,88.83125,"A-"
"39",92.5,100,92.5,90,100,95,85,90,80,12,87.5,66.6666666666667,65,100,66.4,63,83,70,93.125,84.7222222222222,100,84.7458333333333,"B"
"40",87.5,100,92.5,90,95,91,90,95,100,11,83.3333333333333,66.6666666666667,82.5,85,72,81,90,90,94.1875,83.6111111111111,100,91.2979166666667,"A"
"41",93.5,95,97.5,100,100,76,95,90,80,12,100,77.7777777777778,75,65,76.8,75.15,96,83.5,93.875,84.2592592592593,100,90.8763888888889,"A"
